Date,Date,Date.2,Date.1,Close,High,Low,Open,Volume
670,670,671,2022-08-24,0.7733620338290502,0.7713157376583252,0.7850229652640439,0.7675087589502809,0.1082426243388884
671,671,672,2022-08-25,0.7834350110202791,0.7716572763976984,0.7767359761903492,0.7721753682544923,0.0813356900306771
672,672,673,2022-08-26,0.791395861788673,0.7827501990626619,0.792985304185593,0.783341708726091,0.0938563894604115
673,673,674,2022-08-29,0.7584156421381557,0.7493009227238803,0.7599994866897084,0.7555095122985378,0.105398044177938
674,674,675,2022-08-30,0.7628022194704748,0.7590284969830191,0.771373846537073,0.7535096370313286,0.0889776612612065
675,675,676,2022-08-31,0.7777487474539692,0.7617589378249469,0.766986447900315,0.7560092659473718,0.1539346566532422
676,676,677,2022-09-01,0.7546789079228321,0.753055332397477,0.7442376211484045,0.7445098738681435,0.1726303797898107
677,677,678,2022-09-02,0.769300514347829,0.7605643097341893,0.7671488372624342,0.7483428943021138,0.1099280904195358
678,678,679,2022-09-05,0.7621522400608794,0.7619297006755791,0.7646303067835765,0.7713421739031909,0.0967228034821169
679,679,680,2022-09-06,0.7556536725983253,0.7477649367247279,0.7679614573550309,0.7503429769670171,0.0795345764677887
680,680,681,2022-09-07,0.7229982382137057,0.7464848579392818,0.7344880948933581,0.7468430758961726,0.1514999412465203
681,681,682,2022-09-08,0.7410316572955282,0.730869443766134,0.7312380396413736,0.724510385087076,0.1410256264143648
682,682,683,2022-09-09,0.7462306748166916,0.7586871254746529,0.7392002716499984,0.7428431557550368,0.1607255871793969
683,683,684,2022-09-12,0.7584156421381557,0.7486182675540178,0.760161889452061,0.7466765363269037,0.0747211099183131
684,684,685,2022-09-13,0.7853845403712653,0.7721691421418414,0.7781982573587629,0.7633423033860618,0.1195210730646756
685,685,686,2022-09-14,0.7288469625592644,0.731210851448064,0.7406627413773668,0.7405098981272003,0.1564384126471319
686,686,687,2022-09-15,0.7385947456067956,0.7254082870468346,0.7444000542470315,0.727510356367473,0.1807771690755993
687,687,688,2022-09-16,0.7251103646365409,0.7243844461327036,0.7344067790126179,0.7225106983450666,0.3376965864738153
688,688,689,2022-09-19,0.7320963144368415,0.7201179221897258,0.7377378692484076,0.7175108123870284,0.0673857124853633
689,689,690,2022-09-20,0.7624770253267771,0.7503247304055459,0.7606492436671408,0.7458429514405558,0.122283356365857
690,690,691,2022-09-21,0.7449308522901008,0.7414503600646509,0.7512246924704504,0.7513427863299851,0.0957537159701435
691,691,692,2022-09-23,0.7155249060756586,0.7177287294975891,0.7239261065188587,0.7220106183523993,0.1421281164162261
692,692,693,2022-09-26,0.7150373874453118,0.7021985958019183,0.7057268138909509,0.6900117252302298,0.1153854759118831
693,693,694,2022-09-27,0.7121130934188324,0.7083423055380138,0.7170200725229483,0.7123443412058073,0.1414847973046938
694,694,695,2022-09-28,0.6976539477730845,0.6854741346103588,0.6977649871171219,0.6883454022890609,0.1249537455058386
695,695,696,2022-09-29,0.707076809262118,0.7057825897130137,0.7193763493310128,0.7105111437387464,0.1045817337081159
696,696,697,2022-09-30,0.6677603466356956,0.6893992841131575,0.6729036495764522,0.7003448814909856,0.2033913504200888
697,697,698,2022-10-03,0.666298199622456,0.6576565089124493,0.6631541274360533,0.6658461778537137,0.1012164399614116
698,698,699,2022-10-04,0.7342083045670766,0.7173874290246582,0.6993897435651235,0.6800122443550223,0.1607507201125187
699,699,700,2022-10-05,0.7748245897200899,0.7639776872254428,0.7627618249132915,0.7465098441214548,0.2111039817824024
700,700,701,2022-10-06,0.7681632888930868,0.7551032209744594,0.7673113843705757,0.7566759295866747,0.1022841397455863
701,701,702,2022-10-07,0.7606898204624396,0.7491300256551288,0.7481372054479296,0.7298434922721373,0.1262349852468483
702,702,703,2022-10-10,0.7369700015217069,0.7289921270190027,0.7408250864633812,0.7360099381112168,0.0822425750327523
703,703,704,2022-10-11,0.7213734941286172,0.727456186052444,0.7309131265726785,0.7350100809122482,0.0978464675302598
704,704,705,2022-10-12,0.7585779666248046,0.7511780073449733,0.7361129688226993,0.7175108070714982,0.138686524123147
705,705,706,2022-10-13,0.7884714314695936,0.7936723515499838,0.7817732506954014,0.7700088941796,0.1781739010624992
706,706,707,2022-10-14,0.8009813203495554,0.8040826757379685,0.8124842886503991,0.8093407941816531,0.1177333357406564
707,707,708,2022-10-17,0.787821315767398,0.7858217555361794,0.7972910247914333,0.792174493141782,0.0749689002446292
708,708,709,2022-10-18,0.8152778689234542,0.8049357348305849,0.8092342232652836,0.8045073461242223,0.1272700542061583
709,709,710,2022-10-19,0.8266506686412741,0.8185888030037157,0.8311708322891183,0.818340400890808,0.119179169201204
710,710,711,2022-10-20,0.8313618949468907,0.8193566010963321,0.8240210124745992,0.8098405548132057,0.1570997866819807
711,711,712,2022-10-21,0.8071546936684116,0.8131275133456842,0.804846915214142,0.8133403672866657,0.1680353718141533
712,712,713,2022-10-24,0.8266506686412741,0.8250738313522786,0.8269460053079642,0.8316731482810376,0.07658214663201
713,713,714,2022-10-25,0.847770978821425,0.8377026338497057,0.8423828284434296,0.8383395935846285,0.0931004820064694
714,714,715,2022-10-26,0.8513451159648996,0.8487954458204922,0.8571694370660077,0.8466725055338764,0.0938481117879274
715,715,716,2022-10-27,0.8581686049859515,0.865520183481835,0.8277584370083628,0.8666717023430186,0.1487289603909173
716,716,717,2022-10-28,0.8711658762036597,0.8653495581476428,0.8769935610637634,0.8663385067977738,0.1245215070426497
717,717,718,2022-10-31,0.8948856951443923,0.8902659117056219,0.893161586707953,0.8836712195912806,0.1639624570363305
718,718,719,2022-11-01,0.9171432307792852,0.9081851069057526,0.893242654032459,0.8925040562810014,0.1366142268117051
719,719,720,2022-11-02,0.9158436808378944,0.9209848032103144,0.9159917524946012,0.9143367132151934,0.1033565781973424
720,720,721,2022-11-03,0.8919611285327128,0.88855912621977,0.89551746555614,0.892670683395439,0.1075296048257151
721,721,722,2022-11-04,0.8684040429564294,0.8730292346892125,0.8722813101634497,0.8761714366184437,0.1461796172152314
722,722,723,2022-11-07,0.8688912890015758,0.8730290996421769,0.8717937272210252,0.8796712828989866,0.0819624537972413
723,723,724,2022-11-08,0.8916363432668152,0.8873646062775046,0.8847931465728758,0.872338199709209,0.0913008680219296
724,724,725,2022-11-09,0.896347569572432,0.8945321489883759,0.892430034732117,0.8883374358555409,0.0983352700887564
725,725,726,2022-11-10,0.8844879326872658,0.8976042400616641,0.8937301959822597,0.9038370500102172,0.1033204083675752
726,726,727,2022-11-11,0.9132440357847126,0.9141582187483824,0.9119292987967558,0.9200030702900696,0.1819798309111444
